date,value,stderr,sample_size
2021-10-08,1.8488369,0.6846188,4646.9497
2021-10-09,1.3318459,0.2150033,4506.9438
2021-10-10,1.2405545,0.2093566,4427.9499
2021-10-11,1.0698398,0.172933,4528.9484
2021-10-12,0.8637396,0.1499287,4265.9609
2021-10-13,0.8550784,0.1504724,4024.9587
2021-10-14,0.9725164,0.1556775,3831.9624
2021-10-15,0.9630987,0.1601038,3728.962
2021-10-16,0.8837738,0.1466376,3628.9726
2021-10-17,1.0833036,0.1713703,3457.9732
2021-10-18,1.204454,0.1796827,3391.9772
2021-10-19,1.2153083,0.1831135,3389.9726
2021-10-20,1.1579237,0.1863034,3409.971
2021-10-21,0.9923775,0.1741717,3429.9703
2021-10-22,0.9876944,0.1683447,3547.9636
2021-10-23,1.1758483,0.1974902,3665.9603
2021-10-24,1.0387861,0.1839013,3747.9568
2021-10-25,0.9930528,0.176277,3835.9462
2021-10-26,1.0223124,0.184447,3932.9501
2021-10-27,1.0958321,0.191167,4132.9529
2021-10-28,1.3080613,0.2014377,4358.9499
2021-10-29,1.357804,0.2138102,4412.9576
2021-10-30,1.2303622,0.1949804,4410.956
2021-10-31,1.2651237,0.1964377,4488.9523
2021-11-01,1.3159005,0.209014,4440.9604
2021-11-02,1.2308997,0.1943742,4438.9545
2021-11-03,1.3847531,0.2116025,4284.9541
2021-11-04,1.3554091,0.2291488,4190.9583
2021-11-05,1.3262588,0.2191932,4155.9552
2021-11-06,1.2697126,0.2187396,4160.9572
2021-11-07,1.3330103,0.2351594,4152.9591
2021-11-08,1.3168832,0.225899,4254.9631
2021-11-09,1.4009299,0.2324938,4204.9651
2021-11-10,1.3269334,0.2375762,4236.9617
2021-11-11,1.2921678,0.2207177,4197.9622
2021-11-12,1.404213,0.2318601,4153.9633
2021-11-13,1.4164577,0.2294366,4115.9617
2021-11-14,1.4656104,0.2305226,4057.9623
2021-11-15,1.4099307,0.2287478,3974.9576
2021-11-16,1.4339536,0.2260906,3976.9567
2021-11-17,1.2470714,0.1889256,3959.961
2021-11-18,1.2249425,0.1872609,3944.9601
2021-11-19,1.2260782,0.1841793,3914.9629
2021-11-20,1.3283712,0.1979545,3919.9674
2021-11-21,1.089719,0.1681863,3872.9668
2021-11-22,1.2140167,0.1838917,3869.9621
2021-11-23,1.1836093,0.189048,3772.9673
2021-11-24,1.2472831,0.1967046,3655.9697
2021-11-25,1.322443,0.2074198,3631.9661
2021-11-26,1.2866232,0.2065165,3651.9653
2021-11-27,1.2249378,0.2077317,3669.9579
2021-11-28,1.3003858,0.2099123,3774.9638
2021-11-29,1.3215452,0.2322648,3798.972
2021-11-30,1.3736537,0.2314628,3877.9663
2021-12-01,1.3609041,0.2300045,3950.9664
2021-12-02,1.425693,0.2541009,3977.9671
2021-12-03,1.4099869,0.2554165,3925.9699
2021-12-04,1.3646109,0.2484558,3847.9722
2021-12-05,1.3286386,0.2475279,3778.9681
2021-12-06,1.3233395,0.2300504,3733.9653
2021-12-07,1.5195401,0.2622078,3717.9696
2021-12-08,1.6462722,0.2758209,3660.9691
2021-12-09,1.4958475,0.2487488,3634.9699
2021-12-10,1.5036772,0.2450657,3634.9696
2021-12-11,1.5765948,0.2524417,3694.9645
2021-12-12,1.5549267,0.2520437,3666.9624
2021-12-13,1.6805206,0.2766124,3656.9608
2021-12-14,1.4610285,0.244379,3645.9642
2021-12-15,1.4903232,0.2351295,3720.9631
2021-12-16,1.3619737,0.2232642,3582.9662
2021-12-17,1.3573182,0.2212158,3606.9641
2021-12-18,1.2895928,0.2009069,3674.9684
2021-12-19,1.551357,0.211203,3769.9722
2021-12-20,1.3189622,0.1578512,3873.9638
2021-12-21,1.4791063,0.1692658,3947.9595
2021-12-22,1.4311013,0.1807631,4049.9602
2021-12-23,1.7606674,0.1949246,4262.9608
2021-12-24,1.8942233,0.2001672,4373.9563
2021-12-25,2.405966,0.2386338,4392.9563
2021-12-26,2.5887227,0.244432,4455.9525
2021-12-27,3.1105884,0.2667801,4616.9548
2021-12-28,3.6376601,0.3250829,4810.9573
2021-12-29,4.5394516,0.3845981,5075.9472
2021-12-30,5.0454909,0.4047595,5308.942
2021-12-31,5.4997722,0.4117414,5536.9384
2022-01-01,5.4947113,0.4033077,5710.9353
2022-01-02,5.8307225,0.4048081,5981.9364
2022-01-03,5.8575324,0.4067328,6027.9305
2022-01-04,5.7849066,0.3763102,6092.9224
2022-01-05,5.4321751,0.3226979,6056.9253
2022-01-06,5.350293,0.3106353,6045.9231
2022-01-07,5.3065098,0.3130932,5960.9326
2022-01-08,5.5377819,0.3826833,5955.9344
2022-01-09,5.5072917,0.3956707,5809.931
2022-01-10,5.462882,0.3933324,5745.9316
2022-01-11,5.2559436,0.3845833,5566.9278
2022-01-12,5.1094068,0.3968958,5215.9331
2022-01-13,5.2188567,0.4216916,4742.9418
2022-01-14,5.280741,0.4256315,4779.9325
2022-01-15,5.0252852,0.3599117,5045.9281
2022-01-16,5.0830734,0.3560828,5119.9315
2022-01-17,5.0624406,0.3527836,5128.9422
2022-01-18,5.1336155,0.3573715,5207.9496
2022-01-19,5.2263561,0.3504353,5430.9419
2022-01-20,4.9256939,0.3124285,5815.9344
2022-01-21,4.9075529,0.3077859,5772.9409
2022-01-22,4.9573324,0.3207504,5432.9518
2022-01-23,4.5091855,0.3017628,5333.9502
2022-01-24,4.6047014,0.3185988,5268.9492
2022-01-25,4.3968295,0.3150978,5217.9502
2022-01-26,4.1033604,0.2987714,5175.9566
2022-01-27,3.9549771,0.2945587,5143.9554
2022-01-28,3.7052188,0.2923073,5021.9571
2022-01-29,3.6332707,0.3126209,4922.9487
2022-01-30,3.7554086,0.3262313,4841.9447
2022-01-31,3.5547661,0.3213381,4793.9462
2022-02-01,3.3377814,0.3111203,4729.9458
2022-02-02,3.4940677,0.3370162,4621.9424
2022-02-03,3.5001985,0.3384599,4510.9486
2022-02-04,3.2117951,0.3243955,4453.9388
2022-02-05,2.8588835,0.286617,4437.9431
2022-02-06,2.843288,0.2988914,4354.952
2022-02-07,2.6111416,0.2762103,4275.9547
2022-02-08,2.6465582,0.2795484,4175.9544
2022-02-09,2.299442,0.2441586,4166.9596
2022-02-10,2.1376014,0.2480827,4075.959
2022-02-11,2.0963332,0.2524186,3999.9625
2022-02-12,1.9667127,0.2474307,3899.9621
2022-02-13,1.6714861,0.2174228,3829.9616
2022-02-14,1.6069869,0.2265165,3750.9621
2022-02-15,1.4140359,0.2177741,3696.9638
2022-02-16,1.3854844,0.2221531,3622.9669
2022-02-17,1.3220022,0.2152058,3593.9621
2022-02-18,1.3604426,0.2178256,3578.9615
2022-02-19,1.5594881,0.2450677,3533.965
2022-02-20,1.674945,0.2634799,3562.9631
2022-02-21,1.6781869,0.2576293,3608.9587
2022-02-22,1.7918546,0.266682,3591.96
2022-02-23,1.7920523,0.2720233,3592.9595
2022-02-24,1.903781,0.3061566,3600.9661
2022-02-25,1.7495932,0.2958787,3542.9739
2022-02-26,1.854845,0.4621201,3553.9732
2022-02-27,1.7346037,0.454522,3483.9747
2022-02-28,2.0952093,0.5021688,3415.9726
2022-03-01,2.0040005,0.4975896,3386.9709
2022-03-02,1.8787198,0.4900366,3311.9602
2022-03-03,1.6569772,0.4657159,3251.9601
2022-03-04,1.8067328,0.4713848,3253.9562
2022-03-05,1.5728141,0.3059612,3189.9568
2022-03-06,1.7038238,0.3105689,3166.9571
2022-03-07,1.2557771,0.2164489,3111.9572
2022-03-08,1.2832446,0.222843,3088.9621
2022-03-09,1.3700029,0.2572652,3085.9722
2022-03-10,1.4896329,0.2824515,3028.9702
2022-03-11,1.3018287,0.2695663,2972.9701
2022-03-12,1.2104603,0.2512085,2917.97
2022-03-13,1.047198,0.242008,2853.9723
2022-03-14,1.050809,0.2400747,2846.9768
