date,temp_c,dewpoint_c,abs_humidity_g_m3
2023-06-18,20.4,14.2,11.94588697107857
2023-06-19,20.5,14.5,12.17592661142079
2023-06-20,22.0,16.2,13.511389646618744
2023-06-21,19.8,15.6,13.100477569101486
2023-06-22,18.7,15.5,13.06581178313288
2023-06-23,20.0,14.4,12.118079415755004
2023-06-24,20.1,14.2,11.958107827314967
2023-06-25,23.7,15.0,12.439532310505689
2023-06-26,19.8,11.9,10.299285769312965
2023-06-27,18.2,11.3,9.953067691779959
2023-06-28,18.9,15.1,12.725627605846588
2023-06-29,18.7,14.9,12.571408232851951
2023-06-30,17.3,10.9,9.722315206890627
2023-07-01,18.1,14.2,12.040223589219275
2023-07-02,17.4,9.5,8.85064471572419
2023-07-03,16.7,10.3,9.36059101882873
2023-07-04,16.7,10.4,9.423300782665974
2023-07-05,15.4,11.9,10.456336046162653
2023-07-06,17.0,11.8,10.330283044533337
2023-07-07,20.8,11.4,9.930602229833177
2023-07-08,23.9,14.5,12.036562361365815
2023-07-09,21.4,17.4,14.610942092907164
2023-07-10,19.9,14.1,11.88896045266141
2023-07-11,20.9,14.9,12.477352466443945
2023-07-12,18.2,13.3,11.352006767140212
2023-07-13,17.8,13.4,11.441994696562348
2023-07-14,19.1,12.4,10.669438587812767
2023-07-15,21.4,14.4,12.060482025899098
2023-07-16,18.8,11.3,9.93261268025378
2023-07-17,17.4,12.2,10.591652560925828
2023-07-18,18.3,12.6,10.840132469134401
2023-07-19,17.4,13.4,11.45774688337572
2023-07-20,16.8,11.8,10.337408606212614
2023-07-21,16.2,11.7,10.290660453087014
2023-07-22,16.2,12.4,10.776372653493283
2023-07-23,18.2,13.9,11.80413774102117
2023-07-24,17.5,14.1,11.987131810261227
2023-07-25,15.4,10.0,9.21599903613884
2023-07-26,16.1,10.6,9.569642406977902
2023-07-27,17.2,15.4,13.049310926015217
2023-07-28,19.6,16.9,14.242560101226589
2023-07-29,18.5,14.8,12.499193797133803
2023-07-30,17.4,13.5,11.532659229337
2023-07-31,17.6,15.8,13.369757594656006
2023-08-01,17.1,13.4,11.469589515813317
2023-08-02,17.4,14.0,11.913727551441607
2023-08-03,16.8,14.2,12.094206312674991
2023-08-04,16.5,12.9,11.124033227689058
2023-08-05,15.2,12.7,11.028758709816147
2023-08-06,15.2,12.0,10.532809429551506
2023-08-07,15.7,9.9,9.14496787402695
2023-08-08,16.1,11.7,10.294218157651606
2023-08-09,16.2,12.7,10.990643075774964
2023-08-10,18.4,13.0,11.124078557099992
2023-08-11,19.8,16.1,13.526256635164907
2023-08-12,19.5,15.9,13.36819662492598
2023-08-13,18.4,14.2,12.027834403567534
2023-08-14,19.7,14.5,12.209188490502699
2023-08-15,18.9,15.4,12.973351917029682
2023-08-16,18.1,13.9,11.808190663850704
2023-08-17,18.7,15.0,12.652647477723535
2023-08-18,20.6,17.5,14.743598814187884
2023-08-19,21.7,17.9,15.063843200400237
2023-08-20,19.6,15.1,12.695199119684014
2023-08-21,19.7,16.1,13.530875469597268
