latitude,longitude,rwi,error
19.2592938,-101.1950684,-0.737,0.376
19.9010533,-97.6574707,0.108,0.5
18.0727566,-92.7575684,-0.363,0.564
15.9507657,-92.9772949,-0.847,0.42
21.156238,-101.5026855,-0.594,0.416
21.0332369,-100.8215332,0.381,0.442
18.4483464,-89.1101074,0.078,0.554
14.8067491,-92.208252,-0.301,0.536
18.8231166,-98.6462402,0.465,0.512
19.445874,-98.0749512,0.108,0.523
24.6769694,-107.5012207,1.064,0.45
27.7516073,-108.1604004,-0.673,0.333
17.256236,-92.8015137,-0.448,0.508
18.9062862,-96.9104004,-0.048,0.558
17.9891824,-96.0095215,-0.5,0.456
18.2815179,-93.3947754,0.446,0.576
21.1767283,-99.4152832,-0.005,0.422
18.2397857,-92.3181152,0.002,0.509
30.5906366,-112.401123,-0.032,0.387
18.552532,-97.9870605,0.047,0.47
18.552532,-97.2619629,-0.469,0.441
17.1932744,-99.5690918,-0.454,0.551
21.8309063,-98.9099121,-0.251,0.406
20.4784813,-90.098877,0.212,0.557
22.4008712,-100.5578613,-0.142,0.392
18.5733616,-97.3718262,-0.349,0.518
19.6736252,-96.7785645,0.164,0.474
30.892797,-107.4353027,-0.558,0.362
21.0127268,-104.3811035,-0.343,0.407
16.4571585,-96.6247559,-0.228,0.457
21.3814746,-100.0085449,-0.036,0.412
19.4873072,-98.8220215,1.008,0.571
17.8846589,-91.9665527,-0.239,0.461
18.3649523,-96.1413574,-0.07,0.544
24.9960153,-100.6237793,0.447,0.411
17.7172934,-93.3947754,-0.356,0.547
24.0163614,-107.0178223,-0.444,0.452
18.9270721,-99.5471191,0.174,0.533
21.1972157,-99.5910645,0.096,0.427
25.2546322,-97.9870605,0.027,0.465
20.9101341,-89.5715332,1.009,0.575
21.9736132,-101.3049316,0.018,0.423
16.2252233,-94.7351074,-0.518,0.463
18.3440975,-94.7790527,-0.795,0.432
17.3401514,-91.5710449,-0.48,0.427
27.8099273,-109.8962402,0.131,0.447
19.5701418,-102.4255371,-0.144,0.433
25.6514299,-103.3044434,0.028,0.42
21.4223895,-100.513916,-0.22,0.415
20.1487843,-98.1628418,0.849,0.503
17.1092924,-98.3825684,-0.087,0.425
20.6430652,-100.2722168,0.335,0.444
26.7357986,-105.3479004,-0.549,0.345
20.5607954,-100.3381348,0.151,0.479
17.6126105,-93.5046387,-0.242,0.511
16.1619207,-91.5930176,-0.233,0.493
17.7800738,-95.4162598,-0.69,0.614
16.5835521,-94.6911621,0.476,0.57
19.6529339,-98.8220215,0.442,0.508
20.6841834,-99.239502,-0.223,0.508
19.9836736,-101.6564941,0.375,0.493
19.7770419,-98.7780762,0.409,0.558
18.4900283,-96.8225098,-0.776,0.484
19.7356832,-99.173584,0.515,0.554
25.6514299,-97.8112793,0.756,0.486
18.9894144,-97.3498535,0.303,0.511
19.7149999,-99.876709,-0.717,0.511
16.2252233,-97.3498535,-0.606,0.461
20.7047384,-101.217041,-0.188,0.452
18.3023803,-96.295166,0.098,0.562
17.1722825,-93.2409668,-0.355,0.558
18.5317,-96.7565918,-0.096,0.557
22.4211843,-98.5803223,0.206,0.449
20.7047384,-98.1848145,-0.351,0.5
30.7984737,-112.7746582,-0.477,0.46
19.8183898,-102.3815918,-0.071,0.416
22.0143603,-98.7780762,0.654,0.501
20.7869302,-99.0637207,-0.211,0.46
